kernel,args,regs,shmem,device_name,block_x,block_y,block_z,grid_x,grid_y,grid_z,warmup,reps,time_ms,rows,cols,iters,block,grid_blocks
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,0.115294,1024,1024,0,(16,4096
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,0.115302,1024,1024,0,(16,4096
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,0.128980,1024,1024,0,(16,4096
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,0.115338,1024,1024,0,(16,4096
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,0.115302,1024,1024,0,(16,4096
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,0.124828,1024,1024,0,(16,4096
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,0.115341,1024,1024,0,(16,4096
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,0.124999,1024,1024,0,(16,4096
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,0.124846,1024,1024,0,(16,4096
conv2d_7x7,--rows 1024 --cols 1024 --warmup 10 --reps 50,40,0,NVIDIA GeForce RTX 2080 Ti,16,16,1,64,64,1,10,50,0.119057,1024,1024,0,(16,4096
